,DATE,EVENT,BOUT,Winner,WeightClass,Tittle,Women_fight,METHOD,TIME FORMAT,ROUND,TIME,TotalTime,REFEREE,DETAILS,URL
0,,UFC Fight Night: Cannonier vs. Strickland,Jared Cannonier vs. Sean Strickland,Jared Cannonier ,Middleweight,0,0,Decision - Split ,"[5, 5, 5, 5, 5]",5,5:00,1500,Herb Dean,Derek Cleary 46 - 49.Sal D'amato 49 - 46.Junichiro Kamijo 46 - 49.,http://ufcstats.com/fight-details/4ea48bf2407b405d
1,,UFC Fight Night: Cannonier vs. Strickland,Arman Tsarukyan vs. Damir Ismagulov,Arman Tsarukyan ,Lightweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Mark Smith,Mike Bell 27 - 30.Sal D'amato 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/ce7744d45a698aa6
2,,UFC Fight Night: Cannonier vs. Strickland,Amir Albazi vs. Alessandro Costa,Amir Albazi ,Flyweight,0,0,KO/TKO ,"[5, 5, 5]",3,2:13,733,Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/d95eeba3de7ecac5
3,,UFC Fight Night: Cannonier vs. Strickland,Alex Caceres vs. Julian Erosa,Alex Caceres ,Featherweight,0,0,KO/TKO ,"[5, 5, 5]",1,3:04,184,Herb Dean,Kick to Head At Distance ,http://ufcstats.com/fight-details/9c1a2ac64c98d2f6
4,,UFC Fight Night: Cannonier vs. Strickland,Drew Dober vs. Bobby Green,Drew Dober ,Lightweight,0,0,KO/TKO ,"[5, 5, 5]",2,2:45,465,Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/c335f44e4f3515ea
5,,UFC Fight Night: Cannonier vs. Strickland,Cody Brundage vs. Michal Oleksiejczuk,Michal Oleksiejczuk ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",1,3:16,196,Mark Smith,Punch to Head On Ground ,http://ufcstats.com/fight-details/e0444752d18fda7f
6,,UFC Fight Night: Cannonier vs. Strickland,Cheyanne Vlismas vs. Cory McKenna,Cory McKenna ,Strawweight,0,1,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Chris Tognoni,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/c960184a583f1861
7,,UFC Fight Night: Cannonier vs. Strickland,Jake Matthews vs. Matthew Semelsberger,Matthew Semelsberger ,Welterweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Herb Dean,Ron McCarthy 27 - 30.Mike Bell 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/5f4e944ff1bdcd9c
8,,UFC Fight Night: Cannonier vs. Strickland,Said Nurmagomedov vs. Saidyokub Kakhramonov,Said Nurmagomedov ,Bantamweight,0,0,Submission ,"[5, 5, 5]",2,3:50,530,Keith Peterson,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/ed6203e849a2bf28
9,,UFC Fight Night: Cannonier vs. Strickland,Rafa Garcia vs. Maheshate,Rafa Garcia ,Lightweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Mark Smith,Mike Bell 27 - 30.Derek Cleary 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/efc64d8aae5628c9
10,,UFC Fight Night: Cannonier vs. Strickland,Bryan Battle vs. Rinat Fakhretdinov,Rinat Fakhretdinov ,Welterweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Herb Dean,Adalaide Byrd 25 - 30.Junichiro Kamijo 25 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/8f00da6ea8186ce2
11,,UFC Fight Night: Cannonier vs. Strickland,David Dvorak vs. Manel Kape,Manel Kape ,Flyweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Keith Peterson,Derek Cleary 27 - 30.Sal D'amato 27 - 30.Anthony Maness 28 - 29.,http://ufcstats.com/fight-details/f87a7812733f7e8f
12,,UFC Fight Night: Cannonier vs. Strickland,Sergey Morozov vs. Journey Newson,Sergey Morozov ,Bantamweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Chris Tognoni,Mike Bell 27 - 30.Adalaide Byrd 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/ccb7e2851319345d
13,,UFC 282: Blachowicz vs. Ankalaev,Jan Blachowicz vs. Magomed Ankalaev,DRAW,Heavyweigh,1,0,Decision - Split ,"[5, 5, 5, 5, 5]",5,5:00,1500,Marc Goddard,Mike Bell 47 - 48.Derek Cleary 48 - 46.Sal D'amato 47 - 47.,http://ufcstats.com/fight-details/3c3a9c1ec0604fc2
14,,UFC 282: Blachowicz vs. Ankalaev,Paddy Pimblett vs. Jared Gordon,Paddy Pimblett ,Lightweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Herb Dean,Doug Crosby 28 - 29.Chris Lee 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/144cd3f62591a5fb
15,,UFC 282: Blachowicz vs. Ankalaev,Santiago Ponzinibbio vs. Alex Morono,Santiago Ponzinibbio ,Catch Weight,0,0,KO/TKO ,"[5, 5, 5]",3,2:29,749,Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/11f65de5348e4bc4
16,,UFC 282: Blachowicz vs. Ankalaev,Darren Till vs. Dricus Du Plessis,Dricus Du Plessis ,Middleweight,0,0,Submission ,"[5, 5, 5]",3,2:43,763,Mark Smith,Neck Crank From Back Control ,http://ufcstats.com/fight-details/ecab8b8b36727b8d
17,,UFC 282: Blachowicz vs. Ankalaev,Bryce Mitchell vs. Ilia Topuria,Ilia Topuria ,Featherweight,0,0,Submission ,"[5, 5, 5]",2,3:10,490,Marc Goddard,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/4a17876e99f6baf3
18,,UFC 282: Blachowicz vs. Ankalaev,Raul Rosas Jr. vs. Jay Perrin,Raul Rosas Jr. ,Bantamweight,0,0,Submission ,"[5, 5, 5]",1,2:44,164,Herb Dean,Neck Crank From Back Control ,http://ufcstats.com/fight-details/fd7421f421e802bd
19,,UFC 282: Blachowicz vs. Ankalaev,Jairzinho Rozenstruik vs. Chris Daukaus,Jairzinho Rozenstruik ,Heavyweigh,0,0,KO/TKO ,"[5, 5, 5]",1,0:23,23,Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/1779cc4ae925df01
20,,UFC 282: Blachowicz vs. Ankalaev,Edmen Shahbazyan vs. Dalcha Lungiambula,Edmen Shahbazyan ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",2,4:41,581,Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/4e9d76ed54f1f352
21,,UFC 282: Blachowicz vs. Ankalaev,Chris Curtis vs. Joaquin Buckley,Chris Curtis ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",2,2:49,469,Jason Herzog,Punch to Head In Clinch ,http://ufcstats.com/fight-details/a346180c8b109469
22,,UFC 282: Blachowicz vs. Ankalaev,Billy Quarantillo vs. Alexander Hernandez,Billy Quarantillo ,Featherweight,0,0,KO/TKO ,"[5, 5, 5]",2,4:30,570,Chris Tognoni,Punches to Head At Distance ,http://ufcstats.com/fight-details/a1a5d06b0e7ada62
23,,UFC 282: Blachowicz vs. Ankalaev,TJ Brown vs. Erik Silva,TJ Brown ,Featherweight,0,0,Submission ,"[5, 5, 5]",3,3:41,821,Mark Smith,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/2d9d966e0e8df232
24,,UFC 282: Blachowicz vs. Ankalaev,Cameron Saaiman vs. Steven Koslow,Cameron Saaiman ,Bantamweight,0,0,KO/TKO ,"[5, 5, 5]",3,4:13,853,Chris Tognoni,Punches to Head At Distance ,http://ufcstats.com/fight-details/5bc31abb5842942a
25,,UFC Fight Night: Thompson vs. Holland,Stephen Thompson vs. Kevin Holland,Stephen Thompson ,Welterweight,0,0,KO/TKO ,"[5, 5, 5, 5, 5]",4,5:00,1200,Dan Miragliotta,toCorner Stoppage,http://ufcstats.com/fight-details/a419e6df765aa755
26,,UFC Fight Night: Thompson vs. Holland,Bryan Barberena vs. Rafael Dos Anjos,Rafael Dos Anjos ,Welterweight,0,0,Submission ,"[5, 5, 5]",2,3:20,500,Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/f17813d03fcd8e7a
27,,UFC Fight Night: Thompson vs. Holland,Matheus Nicolau vs. Matt Schnell,Matheus Nicolau ,Flyweight,0,0,KO/TKO ,"[5, 5, 5]",2,1:44,404,Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/5a8f7afc5ea69537
28,,UFC Fight Night: Thompson vs. Holland,Tai Tuivasa vs. Sergei Pavlovich,Sergei Pavlovich ,Heavyweigh,0,0,KO/TKO ,"[5, 5, 5]",1,0:54,54,Dan Miragliotta,Punches to Head At Distance ,http://ufcstats.com/fight-details/972e17c1b98fca06
29,,UFC Fight Night: Thompson vs. Holland,Jack Hermansson vs. Roman Dolidze,Roman Dolidze ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",2,4:06,546,Marc Goddard,Punches to Head On Ground ,http://ufcstats.com/fight-details/a71764d5da04e3bc
30,,UFC Fight Night: Thompson vs. Holland,Eryk Anders vs. Kyle Daukaus,Eryk Anders ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",2,2:45,465,Keith Peterson,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/ca0f0a35a1fcb453
31,,UFC Fight Night: Thompson vs. Holland,Niko Price vs. Phil Rowe,Phil Rowe ,Welterweight,0,0,KO/TKO ,"[5, 5, 5]",3,3:26,806,Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/7fbf09533c59e43f
32,,UFC Fight Night: Thompson vs. Holland,Angela Hill vs. Emily Ducote,Angela Hill ,Strawweight,0,1,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Andrew Glenn,Derek Cleary 27 - 30.Dave Tirelli 27 - 30.Daniel Torres 27 - 30.,http://ufcstats.com/fight-details/0c9faf26efe2cdcc
33,,UFC Fight Night: Thompson vs. Holland,Clay Guida vs. Scott Holtzman,Clay Guida ,Lightweight,0,0,Decision - Split ,"[5, 5, 5]",3,5:00,900,Larry Folsom,Eric Colon 28 - 29.MichaelTate 28 - 29.David Tirelli 29 - 28.,http://ufcstats.com/fight-details/7bd6969c4ed979f9
34,,UFC Fight Night: Thompson vs. Holland,Michael Johnson vs. Marc Diakiese,Michael Johnson ,Lightweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Keith Peterson,Chris Lee 28 - 29.Sal D'amato 28 - 29.Troy Wincapaw 27 - 30.,http://ufcstats.com/fight-details/92c1d9a6d313cb0c
35,,UFC Fight Night: Thompson vs. Holland,Darren Elkins vs. Jonathan Pearce,Jonathan Pearce ,Featherweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Dan Miragliotta,Eric Colon 27 - 30.Daniel Torres 27 - 30.Derek Cleary 26 - 30.,http://ufcstats.com/fight-details/be977e524ef56aa4
36,,UFC Fight Night: Thompson vs. Holland,Natan Levy vs. Genaro Valdez,Natan Levy ,Lightweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Andrew Glenn,Eric Colon 28 - 29.Troy Wincapaw 28 - 29.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/30abc50a2e71c576
37,,UFC Fight Night: Thompson vs. Holland,Marcelo Rojo vs. Francis Marshall,Francis Marshall ,Featherweight,0,0,KO/TKO ,"[5, 5, 5]",2,1:14,374,Larry Folsom,Punch to Head At Distance ,http://ufcstats.com/fight-details/1114cd1515cf3b8f
38,,UFC Fight Night: Thompson vs. Holland,Yazmin Jauregui vs. Istela Nunes,Yazmin Jauregui ,Strawweight,0,1,KO/TKO ,"[5, 5, 5]",2,4:06,546,Keith Peterson,Punches to Head From Guard ,http://ufcstats.com/fight-details/2cec230248d7eb97
39,,UFC Fight Night: Nzechukwu vs. Cutelaba,Kennedy Nzechukwu vs. Ion Cutelaba,Kennedy Nzechukwu ,Heavyweigh,0,0,KO/TKO ,"[5, 5, 5]",2,1:02,362,Keith Peterson,Knee to Head At Distance ,http://ufcstats.com/fight-details/c33257dd0605c7de
40,,UFC Fight Night: Nzechukwu vs. Cutelaba,Chase Sherman vs. Waldo Cortes-Acosta,Waldo Cortes-Acosta ,Heavyweigh,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Jacob Montalvo,Anthony Maness 27 - 30.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/110f539523a4b571
41,,UFC Fight Night: Nzechukwu vs. Cutelaba,Andre Fialho vs. Muslim Salikhov,Muslim Salikhov ,Welterweight,0,0,KO/TKO ,"[5, 5, 5]",3,1:03,663,Chris Tognoni,Kick to Head At DistanceWheel Kick,http://ufcstats.com/fight-details/c317f85a8266313e
42,,UFC Fight Night: Nzechukwu vs. Cutelaba,Jack Della Maddalena vs. Danny Roberts,Jack Della Maddalena ,Welterweight,0,0,KO/TKO ,"[5, 5, 5]",1,3:24,204,Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/d0c01840c72429c6
43,,UFC Fight Night: Nzechukwu vs. Cutelaba,Charles Johnson vs. Zhalgas Zhumagulov,Charles Johnson ,Flyweight,0,0,Decision - Split ,"[5, 5, 5]",3,5:00,900,Keith Peterson,Derek Cleary 28 - 29.Doug Crosby 29 - 28.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/b4cfb34e8224fd77
44,,UFC Fight Night: Nzechukwu vs. Cutelaba,Jennifer Maia vs. Maryna Moroz,Jennifer Maia ,Flyweight,0,1,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Jacob Montalvo,Sal D'amato 27 - 30.Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/144443d4dbf43990
45,,UFC Fight Night: Nzechukwu vs. Cutelaba,Vince Morales vs. Miles Johns,Miles Johns ,Bantamweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Chris Tognoni,Doug Crosby 27 - 30.Mike Bell 28 - 29.Adalaide Byrd 28 - 29.,http://ufcstats.com/fight-details/594435375d641f63
46,,UFC Fight Night: Nzechukwu vs. Cutelaba,Ricky Turcios vs. Kevin Natividad,Ricky Turcios ,Bantamweight,0,0,Decision - Split ,"[5, 5, 5]",3,5:00,900,Mark Smith,Derek Cleary 28 - 29.Anthony Maness 29 - 28.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/0f2983fe7753403f
47,,UFC Fight Night: Nzechukwu vs. Cutelaba,Vanessa Demopoulos vs. Maria Oliveira,Vanessa Demopoulos ,Strawweight,0,1,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Keith Peterson,Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/bd064deb3494b41a
48,,UFC Fight Night: Nzechukwu vs. Cutelaba,Brady Hiestand vs. Fernie Garcia,Brady Hiestand ,Bantamweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Jacob Montalvo,Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.Anthony Maness 28 - 29.,http://ufcstats.com/fight-details/a3696c847ef6c7f9
49,,UFC Fight Night: Nzechukwu vs. Cutelaba,Natalia Silva vs. Tereza Bleda,Natalia Silva ,Flyweight,0,1,KO/TKO ,"[5, 5, 5]",3,1:27,687,Chris Tognoni,Spinning Back Kick Head ,http://ufcstats.com/fight-details/33719a2d9c69ed17
50,,UFC 281: Adesanya vs. Pereira,Israel Adesanya vs. Alex Pereira,Alex Pereira ,Middleweight,1,0,KO/TKO ,"[5, 5, 5, 5, 5]",5,2:01,1321,Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/04f32bb0c0d3a8cc
51,,UFC 281: Adesanya vs. Pereira,Carla Esparza vs. Zhang Weili,Zhang Weili ,Strawweight,1,1,Submission ,"[5, 5, 5, 5, 5]",2,1:05,365,Keith Peterson,Rear Naked ChokeFrom back crucifix,http://ufcstats.com/fight-details/85b5d59f8eea976a
52,,UFC 281: Adesanya vs. Pereira,Dustin Poirier vs. Michael Chandler,Dustin Poirier ,Lightweight,0,0,Submission ,"[5, 5, 5]",3,2:00,720,Dan Miragliotta,Rear Naked Choke ,http://ufcstats.com/fight-details/4bf3010fdeea9d93
53,,UFC 281: Adesanya vs. Pereira,Frankie Edgar vs. Chris Gutierrez,Chris Gutierrez ,Bantamweight,0,0,KO/TKO ,"[5, 5, 5]",1,2:01,121,Kevin MacDonald,Knee to Head At Distance ,http://ufcstats.com/fight-details/09afa6ce4747a1a2
54,,UFC 281: Adesanya vs. Pereira,Dan Hooker vs. Claudio Puelles,Dan Hooker ,Lightweight,0,0,KO/TKO ,"[5, 5, 5]",2,4:06,546,Keith Peterson,Kick to Body At DistanceFront Kick,http://ufcstats.com/fight-details/77c78d0a71b10692
55,,UFC 281: Adesanya vs. Pereira,Brad Riddell vs. Renato Moicano,Renato Moicano ,Lightweight,0,0,Submission ,"[5, 5, 5]",1,3:20,200,Dan Miragliotta,Rear Naked Choke ,http://ufcstats.com/fight-details/1f922cfe6178e830
56,,UFC 281: Adesanya vs. Pereira,Dominick Reyes vs. Ryan Spann,Ryan Spann ,Heavyweigh,0,0,KO/TKO ,"[5, 5, 5]",1,1:20,80,Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/6f22afbc5f8e0bd3
57,,UFC 281: Adesanya vs. Pereira,Erin Blanchfield vs. Molly McCann,Erin Blanchfield ,Flyweight,0,1,Submission ,"[5, 5, 5]",1,3:37,217,Kevin MacDonald,Kimura From Side Control ,http://ufcstats.com/fight-details/93da91272d4a7ce3
58,,UFC 281: Adesanya vs. Pereira,Andre Petroski vs. Wellington Turman,Andre Petroski ,Middleweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Keith Peterson,Doug Crosby 27 - 30.Dave Tirelli 27 - 30.Bryan Miner 28 - 29.,http://ufcstats.com/fight-details/65ce9335b93d9c57
59,,UFC 281: Adesanya vs. Pereira,Matt Frevola vs. Ottman Azaitar,Matt Frevola ,Lightweight,0,0,KO/TKO ,"[5, 5, 5]",1,2:30,150,Dan Miragliotta,Punch to Head At Distance ,http://ufcstats.com/fight-details/40707ddc9fdea500
60,,UFC 281: Adesanya vs. Pereira,Karolina Kowalkiewicz vs. Silvana Gomez Juarez,Karolina Kowalkiewicz ,Strawweight,0,1,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Marc Goddard,Mike Bell 28 - 29.Sal D'amato 28 - 29.Dave Tirelli 28 - 29.,http://ufcstats.com/fight-details/ff2e4b411f695017
61,,UFC 281: Adesanya vs. Pereira,Michael Trizano vs. SeungWoo Choi,Michael Trizano ,Featherweight,0,0,KO/TKO ,"[5, 5, 5]",1,4:51,291,Kevin MacDonald,Punch to Head At Distance ,http://ufcstats.com/fight-details/7f93b2f38497caec
62,,UFC 281: Adesanya vs. Pereira,Julio Arce vs. Montel Jackson,Montel Jackson ,Bantamweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Marc Goddard,Bryan Miner 27 - 30.Sal D'amato 27 - 30.Doug Crosby 28 - 29.,http://ufcstats.com/fight-details/bee95769a221af9a
63,,UFC 281: Adesanya vs. Pereira,Carlos Ulberg vs. Nicolae Negumereanu,Carlos Ulberg ,Heavyweigh,0,0,KO/TKO ,"[5, 5, 5]",1,3:44,224,Kevin MacDonald,Punch to Head At Distance ,http://ufcstats.com/fight-details/db026ff6eee4d174
64,,UFC Fight Night: Rodriguez vs. Lemos,Marina Rodriguez vs. Amanda Lemos,Amanda Lemos ,Strawweight,0,1,KO/TKO ,"[5, 5, 5, 5, 5]",3,0:54,654,Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/abfc03893551ae73
65,,UFC Fight Night: Rodriguez vs. Lemos,Neil Magny vs. Daniel Rodriguez,Neil Magny ,Welterweight,0,0,Submission ,"[5, 5, 5]",3,3:33,813,Herb Dean,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/b279559f15ecf29b
66,,UFC Fight Night: Rodriguez vs. Lemos,Darrick Minner vs. Shayilan Nuerdanbieke,Shayilan Nuerdanbieke ,Featherweight,0,0,KO/TKO ,"[5, 5, 5]",1,1:07,67,Mark Smith,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/2664805fde34fb1b
67,,UFC Fight Night: Rodriguez vs. Lemos,Tagir Ulanbekov vs. Nate Maness,Tagir Ulanbekov ,Flyweight,0,0,Submission ,"[5, 5, 5]",1,2:11,131,Chris Tognoni,Guillotine Choke In Clinch ,http://ufcstats.com/fight-details/3adecfc4727a8d73
68,,UFC Fight Night: Rodriguez vs. Lemos,Grant Dawson vs. Mark Madsen,Grant Dawson ,Lightweight,0,0,Submission ,"[5, 5, 5]",3,2:05,725,Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/1535fb6549fa8bab
69,,UFC Fight Night: Rodriguez vs. Lemos,Miranda Maverick vs. Shanna Young,Miranda Maverick ,Flyweight,0,1,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Jason Herzog,Mike Bell 26 - 30.Eric Colon 26 - 30.Junichiro Kamijo 26 - 30.,http://ufcstats.com/fight-details/71afa8354da2491e
70,,UFC Fight Night: Rodriguez vs. Lemos,Mario Bautista vs. Benito Lopez,Mario Bautista ,Bantamweight,0,0,Submission ,"[5, 5, 5]",1,4:54,294,Chris Tognoni,Triangle Armbar From Back Control ,http://ufcstats.com/fight-details/2ab395e21080b10a
71,,UFC Fight Night: Rodriguez vs. Lemos,Polyana Viana vs. Jinh Yu Frey,Polyana Viana ,Strawweight,0,1,KO/TKO ,"[5, 5, 5]",1,0:47,47,Herb Dean,Punches to Head At Distance ,http://ufcstats.com/fight-details/5475f5b6bad40989
72,,UFC Fight Night: Rodriguez vs. Lemos,Liudvik Sholinian vs. Johnny Munoz,Johnny Munoz ,Bantamweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Mark Smith,Junichiro Kamijo 27 - 30.Chris Lee 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/31cb98ce37fd87dd
73,,UFC Fight Night: Rodriguez vs. Lemos,Carlos Candelario vs. Jake Hadley,Jake Hadley ,Flyweight,0,0,Submission ,"[5, 5, 5]",2,2:39,459,Jason Herzog,Triangle Choke From Bottom Guard ,http://ufcstats.com/fight-details/cfca30d3ef3c86b9
74,,UFC Fight Night: Rodriguez vs. Lemos,Tamires Vidal vs. Ramona Pascual,Tamires Vidal ,Bantamweight,0,1,KO/TKO ,"[5, 5, 5]",1,3:06,186,Chris Tognoni,Flying Knee Body ,http://ufcstats.com/fight-details/b87ac039e3b13940
75,,UFC Fight Night: Kattar vs. Allen,Calvin Kattar vs. Arnold Allen,Arnold Allen ,Featherweight,0,0,KO/TKO ,"[5, 5, 5, 5, 5]",2,0:08,308,Herb Dean,to At DistanceKnee injury,http://ufcstats.com/fight-details/a554a72bb0377213
76,,UFC Fight Night: Kattar vs. Allen,Tim Means vs. Max Griffin,Max Griffin ,Welterweight,0,0,Decision - Split ,"[5, 5, 5]",3,5:00,900,Dan Miragliotta,Ben Cartlidge 28 - 29.Eric Colon 29 - 28.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/bf59d9f8bd9536f3
77,,UFC Fight Night: Kattar vs. Allen,Waldo Cortes-Acosta vs. Jared Vanderaa,Waldo Cortes-Acosta ,Heavyweigh,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Mark Smith,Ron McCarthy 27 - 30.Junichiro Kamijo 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/5b6bdaf89e493674
78,,UFC Fight Night: Kattar vs. Allen,Josh Fremd vs. Tresean Gore,Tresean Gore ,Middleweight,0,0,Submission ,"[5, 5, 5]",2,0:49,349,Chris Tognoni,Guillotine Choke In Clinch ,http://ufcstats.com/fight-details/6a7db3750822d7be
79,,UFC Fight Night: Kattar vs. Allen,Dustin Jacoby vs. Khalil Rountree Jr.,Khalil Rountree Jr. ,Heavyweigh,0,0,Decision - Split ,"[5, 5, 5]",3,5:00,900,Herb Dean,Ben Cartlidge 28 - 29.Ron McCarthy 29 - 28.Chris Flores 28 - 29.,http://ufcstats.com/fight-details/98b7dd0ddc52cffb
80,,UFC Fight Night: Kattar vs. Allen,Phil Hawes vs. Roman Dolidze,Roman Dolidze ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",1,4:09,249,Dan Miragliotta,to At Distance ,http://ufcstats.com/fight-details/f32d918ee06cb83b
81,,UFC Fight Night: Kattar vs. Allen,Andrei Arlovski vs. Marcos Rogerio de Lima,Marcos Rogerio de Lima ,Heavyweigh,0,0,Submission ,"[5, 5, 5]",1,1:50,110,Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/5dcba156bd13e0c3
82,,UFC Fight Night: Kattar vs. Allen,Joseph Holmes vs. Junyong Park,Junyong Park ,Middleweight,0,0,Submission ,"[5, 5, 5]",2,3:04,484,Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/d6d141afdd31c3f1
83,,UFC Fight Night: Kattar vs. Allen,Chase Hooper vs. Steve Garcia,Steve Garcia ,Featherweight,0,0,KO/TKO ,"[5, 5, 5]",1,1:32,92,Herb Dean,Punches to Head At Distance ,http://ufcstats.com/fight-details/86dff1593d8b9a1f
84,,UFC Fight Night: Kattar vs. Allen,Cody Durden vs. Carlos Mota,Cody Durden ,Flyweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Mark Smith,Adalaide Byrd 27 - 30.Tony Weeks 28 - 29.Ben Cartlidge 28 - 29.,http://ufcstats.com/fight-details/44abbf6b947be6de
85,,UFC Fight Night: Kattar vs. Allen,Christian Rodriguez vs. Joshua Weems,Christian Rodriguez ,Bantamweight,0,0,Submission ,"[5, 5, 5]",1,4:07,247,Chris Tognoni,Anaconda Choke From Side Control ,http://ufcstats.com/fight-details/fdb9d29cf0edc16a
86,,UFC Fight Night: Grasso vs. Araujo,Alexa Grasso vs. Viviane Araujo,Alexa Grasso ,Flyweight,0,1,Decision - Unanimous ,"[5, 5, 5, 5, 5]",5,5:00,1500,Mark Smith,Mike Bell 45 - 50.Sal D'amato 46 - 49.Junichiro Kamijo 46 - 49.,http://ufcstats.com/fight-details/904cf687d22bb486
87,,UFC Fight Night: Grasso vs. Araujo,Cub Swanson vs. Jonathan Martinez,Jonathan Martinez ,Bantamweight,0,0,KO/TKO ,"[5, 5, 5]",2,4:19,559,Herb Dean,Kick to Leg At Distance ,http://ufcstats.com/fight-details/1af23e7aa71a1d17
88,,UFC Fight Night: Grasso vs. Araujo,Jordan Wright vs. Dusko Todorovic,Dusko Todorovic ,Middleweight,0,0,KO/TKO ,"[5, 5, 5]",2,3:12,492,Chris Tognoni,Elbows to Head From Mount ,http://ufcstats.com/fight-details/759c55755d70f7ba
89,,UFC Fight Night: Grasso vs. Araujo,Raphael Assuncao vs. Victor Henry,Raphael Assuncao ,Bantamweight,0,0,Decision - Unanimous ,"[5, 5, 5]",3,5:00,900,Kerry Hatley,Mike Bell 27 - 30.Sal D'amato 27 - 30.Bryan Miner 27 - 30.,http://ufcstats.com/fight-details/96d4fe315722d1c1
90,,UFC Fight Night: Grasso vs. Araujo,Misha Cirkunov vs. Alonzo Menifield,Alonzo Menifield ,Heavyweigh,0,0,KO/TKO ,"[5, 5, 5]",1,1:28,88,Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/59695aae245cca73
