,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
1400,Shane Campbell,72.0,155.0,71.0,Orthodox,5,1,0,4,0,2648,0.0,0.0,1.0,574,176,294,248,376,4,14,67,160,47,66,62,68,132,235,17,26,27,33,3.0,3.0,0.0,1088.0,141.0,314.0,199.0,399.0,6.0,34.0,100.0,258.0,31.0,44.0,10.0,12.0,103.0,246.0,17.0,27.0,21.0,41.0
1401,Shane Carwin,74.0,265.0,80.0,Orthodox,6,4,0,2,0,1771,4.0,0.0,0.0,436,131,281,189,346,2,7,107,256,4,4,20,21,29,128,41,55,61,98,1.0,1.0,0.0,230.0,110.0,240.0,152.0,292.0,4.0,7.0,88.0,210.0,16.0,24.0,6.0,6.0,77.0,194.0,8.0,10.0,25.0,36.0
1402,Shane Nelson,69.0,155.0,70.0,Southpaw,4,2,0,2,0,2744,1.0,5.0,0.0,563,63,203,199,350,4,22,39,170,20,26,4,7,36,145,15,32,12,26,0.0,0.0,0.0,1045.0,130.0,335.0,333.0,562.0,5.0,11.0,77.0,261.0,33.0,47.0,20.0,27.0,51.0,189.0,48.0,83.0,31.0,63.0
1403,Shane Roller,70.0,155.0,72.0,Orthodox,6,2,0,4,0,3210,1.0,2.0,2.0,889,124,347,192,425,5,23,93,294,13,33,18,20,79,294,9,13,36,40,2.0,5.0,3.0,808.0,170.0,440.0,258.0,532.0,5.0,9.0,122.0,369.0,23.0,41.0,25.0,30.0,123.0,369.0,29.0,36.0,18.0,35.0
1404,Shane Young,68.0,145.0,72.0,Orthodox,5,2,0,3,0,3356,1.0,0.0,0.0,342,292,716,320,749,3,13,171,552,77,107,44,57,267,679,25,37,0,0,1.0,0.0,0.0,592.0,280.0,632.0,298.0,654.0,7.0,16.0,203.0,540.0,37.0,50.0,40.0,42.0,232.0,564.0,32.0,48.0,16.0,20.0
1405,Shanna Young,67.0,135.0,65.0,Orthodox,4,1,0,3,0,2733,0.0,2.0,1.0,102,140,305,167,337,0,1,94,240,35,53,11,12,108,264,18,19,14,22,0.0,1.0,0.0,1357.0,226.0,402.0,445.0,672.0,11.0,25.0,126.0,288.0,79.0,92.0,21.0,22.0,111.0,231.0,56.0,76.0,59.0,95.0
1406,Shannon Gugerty,70.0,155.0,71.0,Orthodox,5,2,0,3,0,2109,0.0,8.0,0.0,695,44,112,100,176,5,18,14,70,11,17,19,25,28,87,10,16,6,9,1.0,6.0,1.0,690.0,66.0,158.0,174.0,278.0,2.0,4.0,27.0,107.0,13.0,19.0,26.0,32.0,28.0,104.0,24.0,32.0,14.0,22.0
1407,Shavkat Rakhmonov,73.0,170.0,77.0,Orthodox,4,4,0,0,0,1558,1.0,3.0,0.0,847,66,124,168,235,4,8,48,99,15,21,3,4,34,69,7,10,25,45,0.0,0.0,0.0,233.0,36.0,81.0,84.0,136.0,0.0,5.0,13.0,44.0,11.0,19.0,12.0,18.0,26.0,67.0,7.0,8.0,3.0,6.0
1408,Shawn Jordan,72.0,260.0,75.0,Southpaw,10,6,0,4,0,4560,3.0,0.0,0.0,1422,235,472,378,639,9,26,189,412,27,40,19,20,118,303,47,77,70,92,2.0,1.0,0.0,742.0,233.0,462.0,285.0,521.0,1.0,9.0,160.0,375.0,43.0,51.0,30.0,36.0,162.0,357.0,67.0,99.0,4.0,6.0
1409,Shayilan Nuerdanbieke,68.0,145.0,69.0,Orthodox,4,3,0,1,0,2767,2.0,0.0,4.0,1296,100,227,252,432,9,28,84,202,6,10,10,15,63,171,7,12,30,44,0.0,5.0,4.0,283.0,135.0,264.0,199.0,346.0,3.0,5.0,80.0,202.0,21.0,24.0,34.0,38.0,122.0,247.0,5.0,6.0,8.0,11.0
