,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
0,AJ Dobson,73.0,185.0,76.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,27,52,90,68,110,0,0,41,79,6,6,5,5,44,78,5,9,3,3,0.0,0.0,0.0,557.0,80.0,128.0,183.0,255.0,6.0,16.0,70.0,118.0,9.0,9.0,1.0,1.0,29.0,57.0,4.0,7.0,47.0,64.0
1,AJ Fletcher,70.0,170.0,67.0,Switch,2,0,0,2,0,1800,0.0,2.0,2.0,378,121,245,190,325,4,10,95,212,11,17,15,16,110,227,6,10,5,8,0.0,0.0,0.0,621.0,169.0,315.0,295.0,451.0,3.0,5.0,120.0,255.0,33.0,42.0,16.0,18.0,116.0,240.0,13.0,21.0,40.0,54.0
2,Aalon Cruz,72.0,145.0,78.0,Switch,2,0,0,2,0,185,0.0,0.0,0.0,16,2,15,2,15,0,3,2,6,0,5,0,4,2,15,0,0,0,0,1.0,0.0,0.0,63.0,65.0,92.0,84.0,112.0,0.0,0.0,62.0,88.0,1.0,2.0,2.0,2.0,9.0,14.0,7.0,8.0,49.0,70.0
3,Aaron Phillips,69.0,135.0,71.0,Southpaw,3,0,0,3,0,2249,0.0,1.0,1.0,73,62,109,346,432,0,1,29,71,29,32,4,6,28,65,21,25,13,19,0.0,2.0,1.0,1709.0,129.0,213.0,257.0,360.0,14.0,25.0,98.0,170.0,21.0,30.0,10.0,13.0,25.0,60.0,31.0,40.0,73.0,113.0
4,Aaron Riley,68.0,155.0,69.0,Southpaw,9,3,0,6,0,5722,0.0,1.0,0.0,1117,314,904,581,1190,8,23,147,653,92,142,75,109,190,714,102,160,22,30,2.0,0.0,0.0,406.0,373.0,954.0,503.0,1089.0,11.0,28.0,246.0,776.0,99.0,124.0,28.0,54.0,259.0,761.0,100.0,168.0,14.0,25.0
5,Aaron Rosa,76.0,205.0,77.0,Orthodox,3,1,0,2,0,1714,0.0,0.0,0.0,60,132,290,407,598,0,1,81,233,42,47,9,10,80,227,52,63,0,0,0.0,0.0,0.0,798.0,129.0,260.0,270.0,429.0,2.0,14.0,92.0,216.0,16.0,19.0,21.0,25.0,84.0,206.0,30.0,38.0,15.0,16.0
6,Aaron Simpson,72.0,170.0,73.0,Orthodox,11,7,0,4,0,7603,6.0,4.0,0.0,3208,454,860,800,1265,32,92,253,608,97,142,104,110,164,454,184,252,106,154,1.0,2.0,1.0,975.0,320.0,730.0,493.0,914.0,5.0,30.0,192.0,576.0,52.0,66.0,76.0,88.0,150.0,473.0,145.0,229.0,25.0,28.0
7,Abdul Razak Alhassan,70.0,185.0,73.0,Orthodox,10,5,0,5,0,4231,7.0,0.0,1.0,456,247,513,285,558,5,11,194,435,26,35,27,43,187,419,36,56,24,38,1.0,2.0,0.0,1533.0,287.0,659.0,423.0,826.0,24.0,50.0,181.0,525.0,71.0,98.0,35.0,36.0,209.0,545.0,47.0,70.0,31.0,44.0
8,Abel Trujillo,68.0,155.0,70.0,Orthodox,11,6,0,4,1,6191,3.0,3.0,0.0,1134,273,662,370,767,15,33,195,568,59,75,19,19,145,483,63,97,65,82,1.0,12.0,0.0,1798.0,238.0,590.0,349.0,728.0,34.0,57.0,153.0,458.0,41.0,65.0,44.0,67.0,176.0,487.0,35.0,64.0,27.0,39.0
9,Abu Azaitar,69.0,185.0,76.0,Orthodox,2,1,0,1,0,1796,0.0,0.0,1.0,321,156,347,277,487,1,4,78,247,59,80,19,20,112,290,31,41,13,16,1.0,1.0,1.0,657.0,160.0,320.0,253.0,430.0,3.0,5.0,136.0,289.0,12.0,17.0,12.0,14.0,95.0,226.0,18.0,25.0,47.0,69.0
10,Abubakar Nurmagomedov,71.0,170.0,72.0,Orthodox,2,1,0,1,0,1070,0.0,0.0,0.0,368,64,129,122,198,2,6,48,113,9,9,7,7,60,124,4,5,0,0,0.0,2.0,0.0,0.0,45.0,147.0,136.0,241.0,0.0,0.0,30.0,117.0,13.0,28.0,2.0,2.0,37.0,138.0,3.0,3.0,5.0,6.0
11,Adam Milstead,75.0,205.0,76.0,Orthodox,4,1,0,2,1,1979,0.0,0.0,0.0,20,127,271,156,303,0,0,105,245,13,17,9,9,101,234,22,33,4,4,2.0,0.0,0.0,1028.0,158.0,279.0,335.0,490.0,10.0,28.0,104.0,218.0,25.0,31.0,29.0,30.0,107.0,220.0,14.0,18.0,37.0,41.0
12,Adam Wieczorek,77.0,250.0,81.0,Orthodox,3,2,0,1,0,2219,0.0,1.0,0.0,266,62,160,118,222,1,3,28,116,21,28,13,16,43,136,12,13,7,11,0.0,0.0,0.0,1238.0,69.0,134.0,156.0,247.0,7.0,17.0,33.0,93.0,23.0,26.0,13.0,15.0,32.0,83.0,11.0,13.0,26.0,38.0
13,Adam Yandiev,69.0,185.0,74.0,Orthodox,1,0,0,1,0,342,0.0,0.0,0.0,0,1,12,1,12,0,0,0,9,0,2,1,1,1,10,0,2,0,0,0.0,2.0,0.0,215.0,35.0,55.0,55.0,82.0,3.0,4.0,33.0,52.0,1.0,2.0,1.0,1.0,3.0,15.0,2.0,2.0,30.0,38.0
14,Adlan Amagov,74.0,170.0,76.0,Orthodox,2,2,0,0,0,1080,1.0,0.0,0.0,274,53,125,80,152,6,11,22,71,8,15,23,39,29,87,15,23,9,15,0.0,0.0,0.0,38.0,9.0,67.0,28.0,86.0,0.0,3.0,1.0,48.0,2.0,5.0,6.0,14.0,7.0,62.0,2.0,5.0,0.0,0.0
15,Adrian Yanez,67.0,135.0,70.0,Orthodox,5,5,0,0,0,2353,5.0,0.0,0.0,16,257,643,259,645,0,0,183,533,36,69,38,41,244,622,2,3,11,18,0.0,0.0,0.0,66.0,216.0,539.0,220.0,544.0,0.0,5.0,132.0,406.0,57.0,99.0,27.0,34.0,216.0,536.0,0.0,3.0,0.0,0.0
16,Adriano Martins,70.0,155.0,72.0,Southpaw,7,4,0,3,0,3445,2.0,2.0,0.0,375,103,234,131,265,4,5,55,173,11,17,37,44,96,220,0,3,7,11,2.0,0.0,0.0,16.0,108.0,342.0,110.0,344.0,1.0,7.0,35.0,214.0,39.0,74.0,34.0,54.0,104.0,336.0,2.0,4.0,2.0,2.0
17,Aiemann Zahabi,68.0,135.0,68.0,Orthodox,5,3,0,2,0,3603,2.0,0.0,1.0,160,181,415,184,418,1,6,117,329,30,46,34,40,166,394,10,14,5,7,1.0,0.0,0.0,180.0,203.0,746.0,217.0,760.0,5.0,20.0,108.0,594.0,41.0,85.0,54.0,67.0,190.0,729.0,7.0,11.0,6.0,6.0
18,Aisling Daly,62.0,115.0,64.0,Orthodox,3,2,0,1,0,2093,0.0,2.0,0.0,1266,102,196,268,376,5,12,71,153,25,35,6,8,16,63,28,40,58,93,0.0,1.0,0.0,585.0,49.0,111.0,200.0,277.0,4.0,6.0,32.0,87.0,10.0,16.0,7.0,8.0,21.0,56.0,20.0,35.0,8.0,20.0
19,Akbarh Arreola,70.0,155.0,71.0,Southpaw,4,1,0,3,0,2512,2.0,1.0,0.0,174,97,214,157,281,3,3,51,150,26,37,20,27,70,174,4,7,23,33,0.0,0.0,0.0,1101.0,168.0,390.0,280.0,514.0,4.0,6.0,104.0,299.0,18.0,34.0,46.0,57.0,69.0,229.0,31.0,45.0,68.0,116.0
20,Akihiro Gono,67.0,170.0,68.0,Switch,3,1,0,2,0,2299,1.0,1.0,1.0,343,90,171,115,197,4,5,33,86,26,39,31,46,74,146,9,15,7,10,0.0,2.0,0.0,677.0,128.0,318.0,267.0,485.0,4.0,7.0,53.0,214.0,40.0,55.0,35.0,49.0,81.0,230.0,34.0,65.0,13.0,23.0
21,Akira Corassani,68.0,145.0,68.0,Orthodox,6,3,0,3,0,2564,0.0,0.0,0.0,296,139,307,155,324,2,7,80,229,28,39,31,39,121,279,18,28,0,0,4.0,1.0,0.0,572.0,210.0,422.0,299.0,517.0,2.0,15.0,138.0,328.0,43.0,61.0,29.0,33.0,121.0,314.0,56.0,71.0,33.0,37.0
22,Al Iaquinta,70.0,155.0,70.0,Orthodox,15,9,0,6,0,11426,7.0,3.0,0.0,687,774,1909,811,1952,8,43,521,1553,145,235,108,121,715,1819,31,51,28,39,4.0,5.0,0.0,1603.0,863.0,2225.0,984.0,2366.0,14.0,54.0,639.0,1928.0,106.0,161.0,118.0,136.0,740.0,2046.0,12.0,29.0,111.0,150.0
23,Alan Baudot,75.0,243.0,79.0,Orthodox,4,0,0,4,0,1868,1.0,0.0,0.0,165,167,285,195,313,0,0,123,236,29,33,15,16,112,224,35,37,20,24,0.0,0.0,0.0,772.0,150.0,282.0,252.0,417.0,6.0,16.0,103.0,232.0,21.0,21.0,26.0,29.0,105.0,218.0,12.0,19.0,33.0,45.0
24,Alan Belcher,74.0,185.0,75.0,Orthodox,15,9,0,6,0,8258,3.0,8.0,2.0,1577,372,889,513,1041,4,15,211,672,61,94,100,123,252,705,58,82,62,102,0.0,10.0,1.0,2290.0,427.0,1058.0,747.0,1398.0,22.0,49.0,328.0,921.0,49.0,76.0,50.0,61.0,306.0,870.0,69.0,104.0,52.0,84.0
25,Alan Jouban,72.0,170.0,73.0,Southpaw,13,8,0,5,0,7020,9.0,2.0,1.0,480,663,1318,719,1377,4,9,398,961,138,207,127,150,538,1120,86,135,39,63,3.0,2.0,0.0,797.0,441.0,1103.0,503.0,1178.0,7.0,17.0,327.0,934.0,67.0,107.0,47.0,62.0,362.0,971.0,53.0,89.0,26.0,43.0
26,Alan Patrick,71.0,155.0,74.0,Southpaw,10,5,0,4,1,6882,1.0,2.0,0.0,2525,209,513,455,816,23,69,127,385,53,95,29,33,140,414,24,36,45,63,3.0,3.0,0.0,1326.0,338.0,598.0,581.0,872.0,9.0,16.0,214.0,439.0,93.0,125.0,31.0,34.0,179.0,384.0,60.0,82.0,99.0,132.0
27,Alatengheili,65.0,135.0,66.0,Orthodox,6,4,0,2,0,4547,1.0,0.0,0.0,461,223,657,287,749,9,23,150,556,39,54,34,47,212,641,1,3,10,13,0.0,1.0,0.0,129.0,347.0,891.0,417.0,971.0,3.0,11.0,233.0,711.0,78.0,126.0,36.0,54.0,302.0,825.0,22.0,35.0,23.0,31.0
28,Albert Duraev,71.0,185.0,75.0,Orthodox,2,1,0,1,0,1500,0.0,1.0,0.0,441,81,190,169,325,3,18,57,156,9,14,15,20,50,141,1,1,30,48,3.0,0.0,0.0,47.0,69.0,198.0,84.0,219.0,1.0,2.0,45.0,156.0,18.0,36.0,6.0,6.0,58.0,179.0,5.0,10.0,6.0,9.0
29,Albert Morales,69.0,135.0,72.0,Orthodox,6,1,0,5,0,4450,0.0,0.0,1.0,732,278,805,380,955,3,8,163,645,28,42,87,118,248,750,11,29,19,26,2.0,5.0,2.0,1064.0,294.0,681.0,461.0,864.0,5.0,14.0,217.0,559.0,39.0,70.0,38.0,52.0,226.0,582.0,10.0,20.0,58.0,79.0
30,Albert Tumenov,71.0,170.0,73.0,Orthodox,8,5,0,3,0,4450,5.0,0.0,1.0,164,279,664,300,697,1,5,223,583,44,67,12,14,243,598,20,31,16,35,0.0,2.0,0.0,947.0,248.0,598.0,300.0,655.0,9.0,36.0,123.0,431.0,62.0,90.0,63.0,77.0,202.0,539.0,19.0,25.0,27.0,34.0
31,Alberto Mina,72.0,170.0,77.0,Orthodox,4,3,0,1,0,2434,3.0,0.0,1.0,254,131,336,165,386,5,24,93,279,13,26,25,31,96,277,14,26,21,33,0.0,1.0,0.0,438.0,150.0,284.0,192.0,338.0,4.0,8.0,110.0,230.0,12.0,19.0,28.0,35.0,118.0,235.0,10.0,19.0,22.0,30.0
32,Alejandro Perez,66.0,135.0,65.0,Orthodox,13,8,0,5,0,8332,1.0,3.0,0.0,530,479,1344,647,1529,5,22,296,1081,60,81,123,182,383,1193,28,54,68,97,5.0,6.0,1.0,651.0,442.0,1155.0,474.0,1192.0,9.0,31.0,214.0,828.0,119.0,184.0,109.0,143.0,414.0,1097.0,13.0,36.0,15.0,22.0
33,Aleksa Camur,73.0,205.0,74.0,Orthodox,3,1,0,2,0,2700,0.0,0.0,0.0,326,199,343,265,412,2,8,116,232,61,78,22,33,159,294,39,48,1,1,0.0,1.0,1.0,765.0,153.0,378.0,217.0,449.0,5.0,10.0,128.0,339.0,15.0,27.0,10.0,12.0,109.0,325.0,25.0,32.0,19.0,21.0
34,Aleksandar Rakic,76.0,205.0,78.0,Orthodox,8,6,0,2,0,5463,4.0,1.0,0.0,2137,365,724,712,1099,5,20,210,516,63,82,92,126,209,524,41,50,115,150,1.0,1.0,0.0,215.0,209.0,448.0,362.0,605.0,2.0,20.0,93.0,284.0,46.0,78.0,70.0,86.0,158.0,382.0,40.0,51.0,11.0,15.0
35,Aleksandra Albu,62.0,115.0,63.0,Orthodox,4,2,0,2,0,2375,0.0,1.0,0.0,382,191,405,241,472,6,12,138,335,45,60,8,10,112,305,62,78,17,22,0.0,1.0,1.0,603.0,220.0,358.0,315.0,462.0,4.0,18.0,99.0,214.0,80.0,102.0,41.0,42.0,107.0,215.0,100.0,123.0,13.0,20.0
36,Aleksei Kunchenko,68.0,170.0,70.0,Orthodox,4,2,0,2,0,3600,0.0,0.0,0.0,130,220,496,409,697,1,3,125,362,34,58,61,76,172,432,38,50,10,14,0.0,0.0,0.0,782.0,170.0,470.0,203.0,507.0,5.0,26.0,73.0,317.0,37.0,72.0,60.0,81.0,153.0,444.0,5.0,9.0,12.0,17.0
37,Aleksei Oleinik,74.0,240.0,80.0,Orthodox,17,9,0,8,0,6940,2.0,15.0,4.0,2110,380,777,744,1172,14,30,239,615,91,102,50,60,266,620,86,118,28,39,5.0,1.0,4.0,2032.0,440.0,790.0,670.0,1032.0,15.0,24.0,347.0,678.0,67.0,85.0,26.0,27.0,248.0,555.0,85.0,110.0,107.0,125.0
38,Alen Amedovski,70.0,185.0,74.0,Orthodox,4,0,0,4,0,1216,0.0,0.0,1.0,13,20,66,20,66,0,0,13,54,2,5,5,7,17,61,0,0,3,5,3.0,1.0,0.0,602.0,78.0,145.0,146.0,225.0,5.0,5.0,64.0,122.0,8.0,15.0,6.0,8.0,33.0,89.0,1.0,1.0,44.0,55.0
39,Alessio Di Chirico,72.0,185.0,74.0,Orthodox,11,4,0,7,0,6786,3.0,0.0,0.0,707,375,944,462,1044,11,28,254,765,67,114,54,65,314,842,45,71,16,31,3.0,4.0,1.0,562.0,389.0,1011.0,580.0,1217.0,4.0,24.0,196.0,741.0,110.0,168.0,83.0,102.0,335.0,940.0,53.0,70.0,1.0,1.0
40,Alessio Sakara,72.0,185.0,72.0,Orthodox,15,6,0,8,1,4535,4.0,0.0,2.0,1233,299,626,421,764,11,14,241,552,49,64,9,10,133,343,56,87,110,196,4.0,3.0,0.0,978.0,212.0,520.0,463.0,808.0,13.0,35.0,150.0,445.0,21.0,24.0,41.0,51.0,107.0,354.0,43.0,69.0,62.0,97.0
41,Alex Caceres,70.0,145.0,73.0,Southpaw,27,15,0,11,1,18946,5.0,16.0,11.0,2375,1315,2576,1570,2860,12,17,850,1967,302,409,163,200,1120,2303,114,155,81,118,5.0,13.0,7.0,4363.0,922.0,2578.0,1296.0,3027.0,43.0,120.0,532.0,2009.0,166.0,288.0,224.0,281.0,772.0,2341.0,65.0,96.0,85.0,141.0
42,Alex Chambers,63.0,115.0,63.0,Southpaw,5,1,0,4,0,2730,0.0,3.0,0.0,623,135,250,214,341,7,17,78,162,29,42,28,46,88,179,32,55,15,16,0.0,9.0,2.0,1026.0,232.0,469.0,484.0,777.0,7.0,15.0,132.0,324.0,66.0,98.0,34.0,47.0,120.0,295.0,80.0,131.0,32.0,43.0
43,Alex Da Silva,68.0,155.0,73.0,Orthodox,4,1,0,3,0,3190,1.0,1.0,1.0,1662,114,246,222,382,7,16,72,198,25,29,17,19,87,211,9,12,18,23,0.0,4.0,1.0,526.0,134.0,309.0,254.0,444.0,3.0,13.0,104.0,274.0,19.0,23.0,11.0,12.0,106.0,275.0,11.0,15.0,17.0,19.0
44,Alex Garcia,69.0,170.0,72.0,Orthodox,10,5,0,5,0,7024,3.0,1.0,1.0,1955,212,676,330,818,29,55,176,620,25,44,11,12,160,582,30,50,22,44,2.0,0.0,3.0,1105.0,355.0,870.0,601.0,1135.0,7.0,21.0,216.0,687.0,78.0,118.0,61.0,65.0,266.0,741.0,39.0,64.0,50.0,65.0
45,Alex Gorgees,74.0,155.0,74.0,Switch,1,0,0,1,0,900,0.0,0.0,0.0,0,10,31,22,43,0,0,5,21,3,5,2,5,5,26,5,5,0,0,0.0,0.0,0.0,586.0,34.0,55.0,103.0,137.0,5.0,11.0,22.0,38.0,9.0,13.0,3.0,4.0,20.0,32.0,3.0,3.0,11.0,20.0
46,Alex Karalexis,68.0,155.0,66.0,Orthodox,3,1,0,2,0,1249,0.0,3.0,0.0,262,42,138,74,171,1,5,35,127,5,9,2,2,11,76,22,50,9,12,0.0,3.0,0.0,239.0,67.0,139.0,94.0,166.0,1.0,5.0,36.0,95.0,30.0,42.0,1.0,2.0,32.0,82.0,35.0,57.0,0.0,0.0
47,Alex Morono,71.0,170.0,72.0,Orthodox,17,11,0,5,1,11902,5.0,4.0,1.0,870,1035,2428,1202,2615,4,20,829,2140,134,199,72,89,897,2200,85,135,53,93,4.0,0.0,2.0,1464.0,811.0,1927.0,929.0,2062.0,13.0,28.0,404.0,1345.0,292.0,428.0,115.0,154.0,728.0,1787.0,51.0,92.0,32.0,48.0
48,Alex Nicholson,76.0,185.0,77.0,Orthodox,4,1,0,3,0,1705,1.0,1.0,0.0,1,117,268,121,272,0,0,67,201,23,36,27,31,109,254,5,11,3,3,1.0,2.0,0.0,431.0,132.0,250.0,200.0,333.0,5.0,10.0,92.0,200.0,26.0,33.0,14.0,17.0,89.0,190.0,16.0,27.0,27.0,33.0
49,Alex Oliveira,71.0,170.0,76.0,Orthodox,22,11,0,10,1,12623,6.0,8.0,1.0,4165,629,1230,909,1561,33,86,356,884,158,218,115,128,374,857,142,209,113,164,4.0,7.0,7.0,3171.0,537.0,1007.0,876.0,1392.0,17.0,47.0,328.0,737.0,90.0,135.0,119.0,135.0,303.0,704.0,108.0,141.0,126.0,162.0
50,Alex Pereira,76.0,185.0,79.0,Orthodox,4,4,0,0,0,2695,2.0,0.0,0.0,115,235,394,355,526,1,1,111,234,85,103,39,57,191,339,42,51,2,4,0.0,0.0,0.0,633.0,104.0,202.0,145.0,257.0,3.0,11.0,53.0,129.0,27.0,39.0,24.0,34.0,92.0,182.0,5.0,9.0,7.0,11.0
51,Alex Perez,66.0,125.0,65.0,Orthodox,9,6,0,3,0,3306,3.0,4.0,0.0,1270,258,524,422,715,11,25,161,390,32,53,65,81,173,408,39,55,46,61,0.0,2.0,0.0,198.0,172.0,443.0,260.0,539.0,2.0,7.0,125.0,375.0,33.0,44.0,14.0,24.0,128.0,388.0,11.0,14.0,33.0,41.0
52,Alex Reyes,71.0,170.0,73.0,Orthodox,1,0,0,1,0,79,0.0,0.0,0.0,18,6,13,6,13,0,0,1,7,4,5,1,1,3,10,3,3,0,0,1.0,0.0,0.0,2.0,11.0,18.0,11.0,18.0,0.0,0.0,10.0,17.0,0.0,0.0,1.0,1.0,4.0,11.0,6.0,6.0,1.0,1.0
53,Alex White,72.0,155.0,71.0,Southpaw,10,4,0,6,0,6881,4.0,4.0,2.0,527,431,1026,572,1187,7,25,265,780,138,211,28,35,288,816,118,176,25,34,2.0,5.0,1.0,2316.0,352.0,897.0,470.0,1038.0,11.0,38.0,223.0,671.0,66.0,128.0,63.0,98.0,240.0,727.0,65.0,102.0,47.0,68.0
54,Alexa Grasso,65.0,125.0,66.0,Orthodox,10,7,0,3,0,8201,0.0,5.0,3.0,942,703,1579,1077,2015,4,7,441,1222,142,199,120,158,579,1407,100,144,24,28,0.0,1.0,2.0,1429.0,549.0,1420.0,766.0,1657.0,17.0,48.0,385.0,1181.0,119.0,174.0,45.0,65.0,454.0,1288.0,65.0,95.0,30.0,37.0
55,Alexander Gustafsson,77.0,205.0,79.0,Orthodox,18,10,0,8,0,11188,9.0,5.0,0.0,1839,751,1845,1001,2125,19,48,523,1484,110,205,118,156,575,1583,59,106,117,156,3.0,4.0,0.0,1077.0,659.0,1357.0,860.0,1576.0,8.0,49.0,398.0,992.0,102.0,162.0,159.0,203.0,496.0,1131.0,101.0,148.0,62.0,78.0
56,Alexander Hernandez,69.0,155.0,72.0,Orthodox,10,5,0,5,0,4969,3.0,1.0,1.0,794,339,863,413,946,9,27,178,605,107,189,54,69,262,751,55,79,22,33,1.0,2.0,0.0,458.0,376.0,838.0,447.0,912.0,7.0,18.0,259.0,682.0,73.0,101.0,44.0,55.0,287.0,724.0,57.0,71.0,32.0,43.0
57,Alexander Munoz,69.0,155.0,72.0,Switch,2,0,0,2,0,1800,0.0,0.0,0.0,195,117,313,122,319,5,17,72,246,23,43,22,24,110,303,7,10,0,0,0.0,0.0,0.0,5.0,194.0,410.0,198.0,414.0,0.0,0.0,167.0,372.0,23.0,33.0,4.0,5.0,191.0,400.0,3.0,10.0,0.0,0.0
58,Alexander Volkanovski,66.0,145.0,71.0,Orthodox,12,12,0,0,0,12122,5.0,3.0,3.0,2687,1372,2406,1499,2558,23,63,866,1747,140,200,366,459,1027,1904,130,175,215,327,1.0,3.0,2.0,349.0,714.0,1798.0,808.0,1899.0,8.0,30.0,443.0,1392.0,168.0,249.0,103.0,157.0,640.0,1701.0,65.0,88.0,9.0,9.0
59,Alexander Volkov,79.0,250.0,80.0,Orthodox,13,9,0,4,0,10455,3.0,0.0,0.0,700,911,1610,1139,1861,7,10,566,1188,185,234,160,188,772,1414,89,132,50,64,2.0,1.0,3.0,2448.0,572.0,1247.0,712.0,1419.0,21.0,78.0,326.0,917.0,122.0,183.0,124.0,147.0,427.0,1043.0,35.0,50.0,110.0,154.0
60,Alexander Yakovlev,75.0,155.0,74.0,Southpaw,9,3,0,6,0,5951,2.0,1.0,1.0,898,173,365,231,433,11,31,85,249,46,63,42,53,124,300,22,29,27,36,1.0,3.0,0.0,2407.0,239.0,576.0,495.0,852.0,10.0,36.0,151.0,463.0,43.0,63.0,45.0,50.0,140.0,443.0,30.0,43.0,69.0,90.0
61,Alexandr Romanov,74.0,262.0,75.0,Southpaw,6,5,0,1,0,3129,0.0,4.0,1.0,1878,197,387,307,529,18,29,153,331,26,36,18,20,44,112,19,23,134,252,0.0,0.0,0.0,283.0,97.0,187.0,201.0,302.0,4.0,5.0,52.0,130.0,19.0,27.0,26.0,30.0,78.0,162.0,15.0,20.0,4.0,5.0
62,Alexandre Pantoja,65.0,125.0,67.0,Orthodox,12,9,0,3,0,7221,3.0,10.0,3.0,1606,512,1059,628,1186,11,27,320,787,111,167,81,105,415,931,59,80,38,48,1.0,0.0,3.0,1067.0,407.0,900.0,524.0,1043.0,21.0,65.0,317.0,782.0,47.0,62.0,43.0,56.0,339.0,790.0,36.0,63.0,32.0,47.0
63,Alexis Davis,66.0,135.0,68.0,Orthodox,14,8,0,6,0,10875,0.0,9.0,5.0,3463,754,1591,1450,2417,12,26,379,1107,135,195,240,289,566,1326,91,138,97,127,0.0,4.0,1.0,1475.0,746.0,1661.0,1154.0,2119.0,16.0,22.0,550.0,1404.0,115.0,154.0,81.0,103.0,621.0,1505.0,60.0,85.0,65.0,71.0
64,Ali AlQaisi,66.0,135.0,68.0,Orthodox,2,0,0,2,0,1800,0.0,2.0,0.0,475,73,172,112,221,7,24,40,128,10,15,23,29,63,157,9,12,1,3,0.0,4.0,0.0,178.0,59.0,135.0,106.0,191.0,2.0,5.0,41.0,104.0,10.0,19.0,8.0,12.0,49.0,120.0,7.0,12.0,3.0,3.0
65,Ali Bagautinov,64.0,125.0,65.0,Orthodox,7,4,0,3,0,6808,2.0,2.0,1.0,1907,323,761,448,904,19,52,182,573,104,135,37,53,166,537,64,97,93,127,0.0,5.0,0.0,662.0,351.0,737.0,536.0,944.0,7.0,20.0,188.0,507.0,88.0,130.0,75.0,100.0,193.0,537.0,131.0,169.0,27.0,31.0
66,Aliaskhab Khizriev,69.0,185.0,74.0,Southpaw,1,1,0,0,0,418,0.0,1.0,0.0,166,42,67,54,79,2,3,31,53,8,10,3,4,33,56,1,3,8,8,0.0,0.0,0.0,2.0,31.0,82.0,43.0,94.0,0.0,1.0,28.0,78.0,3.0,4.0,0.0,0.0,30.0,80.0,1.0,2.0,0.0,0.0
67,Alistair Overeem,76.0,265.0,80.0,Orthodox,20,12,0,8,0,11089,10.0,3.0,0.0,2891,715,962,942,1210,10,29,386,593,231,262,98,107,314,482,144,166,257,314,9.0,1.0,0.0,1133.0,589.0,1205.0,814.0,1454.0,7.0,19.0,404.0,958.0,126.0,166.0,59.0,81.0,357.0,887.0,155.0,220.0,77.0,98.0
68,Aljamain Sterling,67.0,135.0,71.0,Orthodox,16,13,0,3,0,12665,0.0,11.0,2.0,3795,962,1924,1424,2425,24,111,472,1226,324,470,166,228,648,1503,153,200,161,221,4.0,1.0,1.0,2424.0,472.0,1210.0,805.0,1581.0,20.0,34.0,231.0,848.0,124.0,214.0,117.0,148.0,368.0,1057.0,71.0,106.0,33.0,47.0
69,Allan Nascimento,68.0,125.0,69.0,Orthodox,2,1,0,1,0,1800,0.0,2.0,3.0,583,44,89,110,155,2,5,20,56,10,19,14,14,24,52,2,4,18,33,0.0,2.0,2.0,954.0,26.0,69.0,88.0,134.0,4.0,5.0,21.0,62.0,4.0,5.0,1.0,2.0,11.0,46.0,1.0,1.0,14.0,22.0
70,Allan Zuniga,67.0,155.0,70.0,Orthodox,1,0,0,1,0,900,0.0,1.0,0.0,0,59,112,93,147,0,0,33,78,18,24,8,10,44,96,14,15,1,1,0.0,0.0,0.0,668.0,27.0,71.0,94.0,152.0,8.0,19.0,22.0,61.0,2.0,6.0,3.0,4.0,20.0,62.0,5.0,7.0,2.0,2.0
71,Allen Crowder,75.0,245.0,76.0,Orthodox,3,1,0,2,0,610,0.0,1.0,0.0,142,27,69,33,76,1,3,18,60,1,1,8,8,21,57,3,9,3,3,2.0,0.0,0.0,80.0,55.0,112.0,64.0,121.0,0.0,0.0,45.0,102.0,7.0,7.0,3.0,3.0,32.0,77.0,12.0,24.0,11.0,11.0
72,Alonzo Menifield,72.0,205.0,76.0,Orthodox,9,6,0,3,0,4121,2.0,1.0,1.0,1431,266,466,344,550,4,11,217,413,25,29,24,24,181,351,43,66,42,49,2.0,0.0,1.0,297.0,233.0,495.0,357.0,624.0,2.0,23.0,104.0,335.0,109.0,137.0,20.0,23.0,147.0,396.0,78.0,90.0,8.0,9.0
