FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent,form_skore_fighter,Win_Decision,Win_Other,Win-striking,Win-ground,Lost_Decision,Lost_Other,Lost-striking,Lost-ground,AGE,fights_coef,lost_ground_rat,coef_zada,ground_def_skill,fights_coef_gr_att,win_ground_rat,coef_kontrola,ground_att_skill,fights_coef_str_def,lost_str_rat,coef_nohy,stand_def_skill,fights_coef_str_att,stand_att_skill,fights_coef_stamina,avg_time,win_dec_rat,stamina
Kalib Starnes,75.0,185.0,74.0,Orthodox,5,2,0,3,0,3075,0.0,2.0,1.0,601,139,286,199,351,5,15,76,204,42,58,21,24,69,192,43,49,27,45,0.0,1.0,0.0,375.0,227.0,484.0,353.0,621.0,3.0,4.0,120.0,352.0,43.0,61.0,64.0,71.0,147.0,354.0,64.0,106.0,16.0,24.0,-0.7,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,48.0,0.5,0.2,0.12195121951219512,60.84146341463415,0.2,0.0,0.1954471544715447,40.19512195121951,5.0,0.0,0.6826016260162602,72.30406504065041,0.16666666666666666,52.71707317073171,0.25,2.05,0.2,36.3
Kalindra Faria,67.0,125.0,0.0,Switch,3,0,0,3,0,1371,0.0,1.0,0.0,347,51,91,79,129,2,3,38,74,9,12,4,5,20,56,8,9,23,26,0.0,9.0,0.0,546.0,33.0,60.0,93.0,133.0,4.0,5.0,26.0,51.0,2.0,4.0,5.0,5.0,17.0,40.0,3.0,3.0,13.0,17.0,-1.2000000000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,36.0,-0.3333333333333333,0.6666666666666666,0.3982494529540481,37.71918307804522,-0.25,0.0,0.25309992706053974,28.38949671772429,3.0,0.0,0.3486506199854121,56.946024799416485,-0.25,32.689277899343544,-0.25,1.5233333333333334,0.0,25.273333333333333
Kamal Shalorus,68.0,155.0,68.0,Orthodox,3,0,0,3,0,1563,0.0,0.0,0.0,65,41,186,54,201,1,6,24,162,9,14,8,10,37,179,3,6,1,1,3.0,4.0,0.0,599.0,83.0,218.0,146.0,295.0,4.0,10.0,66.0,192.0,13.0,20.0,4.0,6.0,47.0,167.0,8.0,12.0,28.0,39.0,-1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,-0.3333333333333333,0.6666666666666666,0.38323736404350606,38.16954574536149,-0.25,0.0,0.04158669225847729,18.871401151631478,1.5,0.3333333333333333,0.5751759436980166,51.173704414587334,-0.25,42.882917466410746,-0.25,1.7366666666666666,0.0,25.486666666666668
Kamaru Usman,72.0,170.0,76.0,Switch,16,15,0,1,0,16437,10.0,2.0,0.0,7736,1247,2349,2256,3452,55,114,779,1778,366,455,102,116,689,1637,214,261,344,451,1.0,6.0,1.0,473.0,702.0,1639.0,911.0,1889.0,1.0,36.0,408.0,1280.0,188.0,237.0,106.0,122.0,567.0,1476.0,107.0,128.0,28.0,35.0,0.5000000000000002,10.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,35.0,12.0,0.0,0.028776540731276997,81.13670377806169,0.8,0.1875,0.4706454949199976,56.40404727139989,8.0,0.0625,0.5005779643487255,65.52311857394902,0.8571428571428571,61.249222681406934,6.0,3.424375,0.625,83.424375
Kamuela Kirk,70.0,145.0,75.0,Switch,2,1,0,1,0,1482,0.0,3.0,0.0,94,50,117,160,236,0,0,22,77,14,23,14,17,45,111,4,5,1,1,0.0,1.0,0.0,747.0,52.0,127.0,76.0,158.0,7.0,12.0,36.0,101.0,13.0,23.0,3.0,3.0,42.0,110.0,2.0,2.0,8.0,15.0,-0.09999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,-1.0,0.5,0.5040485829959515,38.878542510121456,-0.6666666666666666,0.0,0.06342780026990553,14.854251012145749,2.0,0.0,0.432523616734143,59.30094466936572,-0.6666666666666666,31.463562753036435,-1.0,2.47,0.5,42.47
Kanako Murata,61.0,115.0,62.0,Orthodox,2,1,0,1,0,1500,0.0,2.0,0.0,715,52,87,105,143,4,10,39,69,10,14,3,4,23,54,4,6,25,27,0.0,1.0,0.0,46.0,65.0,141.0,76.0,152.0,0.0,0.0,44.0,109.0,14.0,19.0,7.0,13.0,54.0,127.0,10.0,13.0,1.0,1.0,-0.09999999999999998,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,-2.0,0.0,0.030666666666666665,67.08,-0.6666666666666666,0.0,0.4766666666666667,33.45,2.0,0.0,0.49266666666666664,61.70666666666666,-0.6666666666666666,34.17,-1.0,2.5,0.5,42.5
Karine Gevorgyan,64.0,125.0,63.0,0,1,0,0,1,0,100,0.0,0.0,0.0,22,2,10,2,10,0,2,2,10,0,0,0,0,2,10,0,0,0,0,0.0,1.0,0.0,36.0,3.0,13.0,5.0,15.0,1.0,1.0,1.0,10.0,0.0,0.0,2.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,-1.5,1.0,0.36,27.7,-1.5,0.0,0.22,11.9,1.0,0.0,0.42,57.8,-1.5,20.9,-1.5,0.3333333333333333,0.0,17.833333333333332
Karine Silva,65.0,125.0,67.0,Orthodox,1,1,0,0,0,295,0.0,1.0,0.0,47,17,68,23,75,1,1,9,49,5,8,3,11,12,63,0,0,5,5,0.0,0.0,0.0,0.0,19.0,26.0,19.0,26.0,0.0,0.0,10.0,17.0,6.0,6.0,3.0,3.0,19.0,26.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,-3.0,0.0,0.0,67.0,-3.0,0.0,0.15932203389830507,36.16949152542373,1.0,0.0,0.8406779661016949,74.62711864406779,-1.5,39.83050847457627,-3.0,0.9833333333333333,0.0,10.983333333333333
Karl Roberson,73.0,185.0,74.0,Southpaw,10,4,0,6,0,4964,1.0,3.0,3.0,867,208,404,334,549,4,10,127,299,37,54,44,51,122,303,33,35,53,66,2.0,8.0,0.0,1797.0,200.0,473.0,311.0,617.0,16.0,28.0,147.0,384.0,32.0,53.0,21.0,36.0,100.0,344.0,14.0,18.0,86.0,111.0,-1.3,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,32.0,1.0,0.5,0.3620064464141821,45.139806607574535,0.6666666666666666,0.0,0.17465753424657535,44.85958904109589,5.0,0.1,0.46333601933924257,59.5334407735697,0.5454545454545454,47.39557541572046,0.8571428571428571,1.6546666666666665,0.2,38.94038095238095
Karlos Vemola,72.0,185.0,75.0,Orthodox,6,2,0,4,0,3261,0.0,6.0,1.0,730,91,206,195,344,7,27,66,174,15,19,10,13,27,97,15,23,49,86,0.0,9.0,0.0,1891.0,116.0,187.0,354.0,475.0,11.0,16.0,51.0,113.0,32.0,37.0,33.0,37.0,24.0,67.0,61.0,72.0,31.0,48.0,-0.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,37.0,0.6666666666666666,0.3333333333333333,0.5798834713278136,43.27016252683226,0.4,0.0,0.22385771235817234,49.87359705611776,6.0,0.0,0.1962588163140141,53.85035265256057,0.2857142857142857,32.26021816270206,0.4,1.8116666666666668,0.0,28.811666666666667
Karo Parisyan,70.0,170.0,72.0,Orthodox,13,8,0,4,1,9047,0.0,10.0,2.0,3550,375,904,733,1307,53,89,324,845,23,27,28,32,159,478,71,137,145,289,3.0,7.0,9.0,1964.0,330.0,792.0,724.0,1209.0,17.0,42.0,182.0,612.0,97.0,115.0,51.0,65.0,142.0,500.0,88.0,139.0,100.0,153.0,-0.9000000000000001,6.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,40.0,4.5,0.07692307692307693,0.21708853763678568,65.67965156320412,0.75,0.0,0.39239526914999445,53.580864034826675,6.5,0.07692307692307693,0.39051619321321984,59.04372465160572,0.6428571428571429,45.28751440888061,1.8,2.31974358974359,0.46153846153846156,54.781282051282055
Karol Rosa,65.0,135.0,67.0,Orthodox,5,4,0,1,0,4500,1.0,0.0,1.0,1373,499,905,726,1161,7,14,313,679,70,81,116,145,388,754,48,59,63,92,0.0,0.0,1.0,657.0,334.0,672.0,475.0,830.0,5.0,18.0,199.0,502.0,66.0,91.0,69.0,79.0,296.0,626.0,24.0,29.0,14.0,17.0,0.5000000000000002,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,0.146,66.62,0.16666666666666666,0.0,0.3051111111111111,35.730000000000004,5.0,0.0,0.5488888888888889,66.95555555555555,0.16666666666666666,46.7,0.5,3.0,0.8,62.5
Karolina Kowalkiewicz,63.0,115.0,64.0,Orthodox,14,7,0,7,0,10714,0.0,3.0,1.0,1218,954,2338,1218,2650,4,13,607,1853,228,323,119,162,694,1999,221,291,39,48,1.0,4.0,1.0,1930.0,991.0,2349.0,1216.0,2598.0,13.0,52.0,584.0,1750.0,232.0,366.0,175.0,233.0,789.0,2073.0,167.0,235.0,35.0,41.0,0.2999999999999999,6.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,37.0,3.3333333333333335,0.14285714285714285,0.1801381370169871,63.64347493710944,0.7142857142857143,0.0,0.11368303154750793,36.90145070535214,7.0,0.07142857142857142,0.706178831435505,72.39001040027735,0.6666666666666666,59.77804741459772,1.25,2.5509523809523813,0.42857142857142855,50.94380952380952
